"Module","Endpoint","Method"
"3d","/api/3d/actions/keyframes","POST"
"3d","/api/3d/actions/parse","POST"
"3d","/api/3d/cameras/presets","GET"
"3d","/api/3d/poses","GET"
"3d","/api/3d/poses/infer","POST"
"3d","/api/3d/poses/tags","GET"
"3d","/api/3d/scenes","GET"
"3d","/api/3d/scenes","POST"
"annotations","/api/annotations/history","GET"
"annotations","/api/v1/annotations/history","GET"
"api-keys","/api/v1/api-keys","GET"
"api-keys","/api/v1/api-keys/create","POST"
"audio","/api/audio/jobs","GET"
"audit-logs","/api/v1/audit-logs","GET"
"audit-logs","/api/v1/audit-logs/stats","GET"
"auth","/auth/me","GET"
"backup","/api/v1/backup","POST"
"backup","/api/v1/backup","GET"
"backup","/api/v1/backup/{backup_id}","DELETE"
"backup","/api/v1/backup/{backup_id}/download","GET"
"backup","/api/v1/backup/{backup_id}/restore","POST"
"backup","/api/v1/backup/auto-backup","POST"
"book","/api/book/list","GET"
"canvas","/canvas/element","POST"
"canvas","/canvas/state","GET"
"canvas","/canvas/state","POST"
"chat","/api/v1/chat","POST"
"classify","/api/classify/init-defaults","POST"
"classify","/api/classify/rule/{rule_id}","DELETE"
"classify","/api/classify/rules","GET"
"classify","/api/classify/taxonomy","GET"
"cloud","/api/cloud/storage/settings","POST"
"cloud","/api/cloud/storage/status","GET"
"comfyui","/api/comfyui/run","POST"
"comfyui","/api/comfyui/status/{prompt_id}","GET"
"comfyui","/api/comfyui/workflows","GET"
"comfyui","/api/v1/comfyui/run","POST"
"comfyui","/api/v1/comfyui/status/{prompt_id}","GET"
"comfyui","/api/v1/comfyui/workflows","GET"
"copyright","/api/v1/copyright/health","GET"
"crowd","/api/crowd/assign","POST"
"crowd","/api/crowd/golden-check","POST"
"crowd","/api/crowd/majority-vote","POST"
"crowd","/api/crowd/quality-coefficient","POST"
"crowd","/api/crowd/quality-report/{worker_id}","GET"
"crowd","/api/crowd/settlement/_seed_test_data","POST"
"crowd","/api/crowd/settlement/batch-calculate","POST"
"crowd","/api/crowd/settlement/financial-report","GET"
"crowd","/api/crowd/settlement/health","GET"
"crowd","/api/crowd/settlement/history","GET"
"crowd","/api/crowd/settlement/quality-adjustment/{worker_id}","GET"
"crowd","/api/crowd/stats","GET"
"crowd","/api/crowd/teams","POST"
"crowd","/api/crowd/teams","GET"
"crowd","/api/crowd/workers","GET"
"crowd","/api/crowd/workers","POST"
"dam","/api/dam/files","GET"
"dam","/api/dam/files/tag-all","POST"
"dam","/api/dam/formats","GET"
"dam","/api/dam/smart-folders","GET"
"dam","/api/dam/stats","GET"
"datasets","/api/datasets","GET"
"delivery","/api/delivery/","GET"
"delivery","/api/delivery/approve","POST"
"delivery","/api/delivery/review","GET"
"delivery","/api/delivery/review","POST"
"delivery","/api/delivery/submit","POST"
"delivery","/api/v1/delivery/snapshot","POST"
"discovery","/api/discovery/clear-cache","POST"
"discovery","/api/discovery/registered","GET"
"drama","/api/drama/generate","POST"
"drama","/api/drama/list","GET"
"drama","/api/drama/script","POST"
"engine","/engine/plan","POST"
"export","/api/v1/export","POST"
"export","/api/v1/export/formats","GET"
"external","/api/external/list","GET"
"external","/api/external/protocols","GET"
"figma","/api/figma/claim","GET"
"figma","/api/figma/import","POST"
"figma","/api/v1/figma/claim","GET"
"figma","/api/v1/figma/import","POST"
"files","/api/v1/files/list","GET"
"generate","/api/video/generate","POST"
"health","/api/health","GET"
"health","/api/health/live","GET"
"health","/api/health/ready","GET"
"health","/api/v1/health","GET"
"health","/api/v1/health/live","GET"
"health","/api/v1/health/metrics-summary","GET"
"health","/api/v1/health/ready","GET"
"image","/api/image/generate","POST"
"image","/api/v1/image/generate","POST"
"imdf_canvas","/imdf/canvas","POST"
"imdf_canvas","/imdf/canvas","GET"
"imdf_canvas","/imdf/canvas/{board_id}","PUT"
"imdf_canvas","/imdf/canvas/{board_id}","DELETE"
"imdf_canvas","/imdf/canvas/{board_id}/auto-save","POST"
"imdf_config","/imdf/config","PUT"
"imdf_config","/imdf/config","GET"
"imdf_config","/imdf/config/raw","GET"
"imdf_config","/imdf/config/tool-apps","GET"
"imdf_config","/imdf/config/tool-categories","GET"
"imdf_config","/imdf/config/tools/export","GET"
"imdf_config","/imdf/config/tools/import","POST"
"imdf_image","/imdf/image/grid-compose","POST"
"imdf_library","/imdf/library/categories","GET"
"imdf_library","/imdf/library/items","GET"
"imdf_media","/imdf/media/list","GET"
"imdf_theme","/imdf/theme/templates","GET"
"ingest","/api/v1/ingest/api-config","POST"
"ingest","/api/v1/ingest/crawler","POST"
"ingest","/api/v1/ingest/csv","POST"
"ingest","/api/v1/ingest/excel","POST"
"ingest","/api/v1/ingest/history","GET"
"ingest","/api/v1/ingest/import","POST"
"ingest","/api/v1/ingest/json","POST"
"ingest","/api/v1/ingest/rss","GET"
"ingest","/api/v1/ingest/rss","POST"
"ingest","/api/v1/ingest/rss/{feed_id}","DELETE"
"ingest","/api/v1/ingest/rss/{feed_id}/refresh","POST"
"ingest","/api/v1/ingest/rss/refresh-all","POST"
"media-info","/api/v1/media-info","POST"
"migrations","/api/v1/migrations/apply","POST"
"migrations","/api/v1/migrations/status","GET"
"models","/api/models","GET"
"models","/api/models/health","GET"
"monitor","/api/monitor/history","GET"
"monitor","/api/monitor/pipeline","GET"
"ops","/api/ops/overview","GET"
"ops","/api/ops/trend","GET"
"oss","/api/oss/query","GET"
"oss","/api/oss/status","GET"
"oss","/api/oss/upload","POST"
"pe","/api/pe/modalities","GET"
"pe","/api/pe/stats","GET"
"pe","/api/pe/templates","GET"
"pe","/api/pe/templates/{pe_id}","GET"
"pipeline","/api/pipeline/augmentation-types","GET"
"pipeline","/api/pipeline/format-types","GET"
"ppt","/api/ppt/generate","POST"
"ppt","/api/v1/ppt/generate","POST"
"prelabel","/api/prelabel","POST"
"preview","/api/v1/preview/{file_path}","GET"
"privacy","/api/v1/privacy/_seed_test_data","POST"
"privacy","/api/v1/privacy/consent/{user_id}","GET"
"privacy","/api/v1/privacy/health","GET"
"prompt-templates","/api/prompt-templates","POST"
"prompt-templates","/api/prompt-templates","GET"
"prompt-templates","/api/prompt-templates/categories","GET"
"prompt-templates","/api/v1/prompt-templates","GET"
"prompt-templates","/api/v1/prompt-templates","POST"
"prompt-templates","/api/v1/prompt-templates/categories","GET"
"quality","/api/quality/classify/industry","GET"
"quality","/api/quality/eval/benchmarks","GET"
"quality","/api/quality/preview/bench-reset","POST"
"quality","/api/quality/preview/formats","GET"
"quality","/api/quality/preview/industry","GET"
"quality","/api/quality/preview/perf","GET"
"quality","/api/quality/preview/perf-by-format","GET"
"quality","/api/quality/schemas","GET"
"quality","/api/quality/schemas/{industry}","GET"
"quality","/api/quality/search/industry","GET"
"quality","/api/quality/search/latency","GET"
"quality","/api/quality/transfer/checkpoints","GET"
"quality","/api/quality/transfer/industry","GET"
"quality","/api/quality/transfer/speed-stats","GET"
"quality","/api/quality/v2/collection/dedup/clear","POST"
"quality","/api/quality/v2/collection/dedup/stats","POST"
"quality","/api/quality/v2/collection/llm-evaluate","POST"
"quality","/api/quality/v2/collection/monitor/current","GET"
"quality","/api/quality/v2/collection/monitor/history","GET"
"quality","/api/quality/v2/collection/monitor/start","POST"
"quality","/api/quality/v2/filter/golden/list","GET"
"quality","/api/quality/v2/review/efficiency","GET"
"quality","/api/quality/v2/review/queue-stats","GET"
"quality","/api/quality/v2/summary","GET"
"requirements","/api/requirements/","GET"
"requirements","/api/requirements/assign","POST"
"requirements","/api/requirements/close","POST"
"requirements","/api/requirements/verify","POST"
"review","/api/review/","GET"
"review","/api/review/approve","POST"
"review","/api/review/deploy","POST"
"review","/api/review/pre_review","POST"
"review","/api/review/submit","POST"
"robustness","/api/v1/robustness/stats","GET"
"root","/","GET"
"root","/canvas","GET"
"root","/login.html","GET"
"root","/metrics","GET"
"scheduler","/api/scheduler/health","GET"
"scheduler","/api/scheduler/history","GET"
"scheduler","/api/scheduler/history/{job_id}","GET"
"scheduler","/api/scheduler/jobs","GET"
"scheduler","/api/scheduler/jobs/{job_id}","DELETE"
"scheduler","/api/scheduler/presets","GET"
"sdk","/api/v1/sdk/generate","POST"
"sdk","/api/v1/sdk/health","GET"
"sdk","/api/v1/sdk/openapi.json","GET"
"sdk","/api/v1/sdk/python","GET"
"sdk","/api/v1/sdk/typescript","GET"
"sdk","/api/v1/sdk/versions","GET"
"search","/api/search","POST"
"search","/api/search/","POST"
"search","/api/search/advanced/faceted","POST"
"search","/api/search/advanced/health","GET"
"search","/api/search/hybrid","POST"
"search","/api/search/images","POST"
"search","/api/search/index/{name}","DELETE"
"search","/api/search/index/create","POST"
"search","/api/search/index/delete-vectors","POST"
"search","/api/search/index/images","POST"
"search","/api/search/index/text","POST"
"search","/api/search/indices","GET"
"search","/api/search/status","GET"
"search","/api/v1/search","POST"
"sharing","/api/sharing/","GET"
"sharing","/api/sharing/{token}","GET"
"sharing","/api/sharing/list","GET"
"stats","/api/stats/daily","GET"
"stats","/api/stats/monthly","GET"
"stats","/api/stats/personnel","GET"
"stats","/api/stats/weekly","GET"
"templates","/api/templates","GET"
"templates","/api/templates/{template_id}","GET"
"templates","/api/templates/categories","GET"
"templates","/api/templates/popular","GET"
"templates","/api/templates/stats","GET"
"templates","/api/templates/top-rated","GET"
"transfer","/api/transfer/cleanup","POST"
"transfer","/api/transfer/list","GET"
"transfer","/api/transfer/list/all","GET"
"tutorials","/api/tutorials","GET"
"tutorials","/api/v1/tutorials","GET"
"video","/api/v1/video/generate","POST"
"webhooks","/api/v1/webhooks","GET"
"webhooks","/api/v1/webhooks/{webhook_id}","GET"
"webhooks","/api/v1/webhooks/deliveries/stats","GET"
"webhooks","/api/v1/webhooks/event-types","GET"
"webhooks","/api/v1/webhooks/health","GET"
"workflow","/api/v1/workflow/contract/health","GET"
"workflow","/api/workflow/execute","POST"
"workflow","/api/workflow/nodes","GET"
"workflow","/api/workflow/templates","GET"
"workflow","/api/workflow/validate","POST"
