Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/v1/agent_tasks,6921,0,470,466.68877329865626,0,732,33.0,23.121001320313336,0.0,470,490,510,520,560,580,600,610,700,730,730
GET,/api/v1/agents,10356,0,470,465.3604673619158,0,741,33.0,34.59631406923348,0.0,470,490,510,520,550,580,600,620,700,720,740
GET,/api/v1/agents/types,6814,0,470,466.770032286469,0,721,33.0,22.763546163360076,0.0,470,490,510,520,550,580,600,620,700,720,720
GET,/api/v1/annotations,12746,0,470,467.08332025733563,0,746,33.0,42.58059280865681,0.0,470,500,510,530,560,580,600,620,690,720,750
GET,/api/v1/assets,25824,0,470,467.11725526641885,0,746,33.0,86.27029881458917,0.0,470,500,510,520,560,580,600,620,690,740,750
GET,/api/v1/assets/models,8355,0,470,466.5573907839617,0,728,33.0,27.911568563967336,0.0,470,500,510,530,560,580,600,610,690,730,730
GET,/api/v1/clean/operators,9593,0,470,467.96997810903787,0,715,33.0,32.047358136940595,0.0,470,500,510,530,560,580,600,620,690,720,720
GET,/api/v1/collections,6879,0,470,466.48611716819306,0,717,33.0,22.980691819453178,0.0,470,500,510,530,560,580,600,620,700,720,720
GET,/api/v1/datasets,6916,0,470,468.6422787738577,0,725,33.0,23.104297808306175,0.0,470,500,520,530,560,580,600,620,700,720,720
GET,/api/v1/evaluations,12902,0,470,466.5438691675709,0,743,33.0,43.10174238328026,0.0,470,500,510,530,560,580,600,620,700,740,740
GET,/api/v1/health,17593,0,470,468.8938214062411,0,6005,33.0,58.77297734839944,0.0,470,500,510,530,560,580,600,620,720,5800,6000
GET,/api/v1/health/ready,8792,0,470,466.10975887170156,0,3880,33.0,29.371455513393276,0.0,470,500,510,520,550,580,600,620,700,3900,3900
GET,/api/v1/items,8382,0,470,466.48317823908377,0,725,33.0,28.00176752880601,0.0,470,490,510,530,560,580,600,620,700,720,720
GET,/api/v1/notifications,9572,0,470,468.30442958629334,0,732,33.0,31.977203386510514,0.0,470,500,510,530,550,580,600,620,680,730,730
GET,/api/v1/roles,9730,0,470,466.9280575539568,0,730,33.0,32.50503436593683,0.0,470,500,510,520,560,580,600,620,700,730,730
GET,/api/v1/score/operators,9768,0,470,465.6736281736282,0,728,33.0,32.631981057191254,0.0,470,490,510,520,560,580,600,610,690,730,730
GET,/api/v1/search,9527,0,470,468.45019418494803,0,729,33.0,31.82687177844606,0.0,470,500,510,520,560,580,600,620,700,730,730
GET,/api/v1/tasks,16987,0,470,467.5489491964443,0,746,33.0,56.748511693131434,0.0,470,500,510,520,560,580,610,620,690,740,750
GET,/api/v1/users/me,15984,0,470,466.8566066066066,0,732,33.0,53.39778718449478,0.0,470,500,510,530,550,580,600,620,690,720,730
GET,/api/v1/workflows,19792,0,470,466.45114187550524,0,746,33.0,66.11918192914919,0.0,470,500,510,520,550,580,600,620,690,730,750
POST,/api/v1/workflows [POST],3463,0,470,467.8561940514005,0,746,33.0,11.568852416160249,0.0,470,500,510,520,550,580,600,620,700,750,750
GET,/api/v1/workflows/templates,6416,0,470,468.87546758104736,0,740,33.0,21.43394660759,0.0,470,500,520,530,560,580,600,620,700,740,740
POST,/auth/login,693,693,290,1342.2005772005773,55,9017,28.125541125541126,2.315106764192623,2.315106764192623,290,730,1500,2400,4800,6200,7700,8000,9000,9000,9000
GET,/healthz,43675,0,470,469.44783056668575,0,5952,35.0,145.90517738255815,0.0,470,500,510,530,560,580,600,620,730,5600,6000
GET,/readyz,26280,0,470,469.06685692541856,0,5624,81.0,87.79365910964232,0.0,470,500,510,520,560,580,600,620,850,5300,5600
,Aggregated,313960,693,470,469.55971461332655,0,9017,37.28529749012613,1048.8469259537026,2.315106764192623,470,500,510,520,560,580,600,620,780,6300,9000
